audio_name,audio_len,trans,target
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/3575-170457-0013.wav,146800,the more she is engaged in her proper duties the less leisure will she have for it even as an accomplishment and a recreation,old will is a fine fellow but poor and helpless since missus rogers had her accident
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/2961-960-0020.wav,158080,and hence we find the same sort of clumsiness in the timaeus of plato which characterizes the philosophical poem of lucretius,the wood flamed up splendidly under the large brewing copper and it sighed so deeply
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/2830-3980-0029.wav,145200,although the brethren with me are not apostles like myself yet they are all of one mind with me think write and teach as i do,i would fain know if i am destined for so glorious a career cried the tree rejoicing
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/2300-131720-0015.wav,142000,he obtained the desired speed and load with a friction brake also regulator of speed but waited for an indicator to verify it,we will go out together to the bower there is a way down to the court from my window
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/8230-279154-0017.wav,126880,there may be a specific feeling which could be called the feeling of pastness especially where immediate memory is concerned,finally the one party went off exulting and the other was left in desolation and woe
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/8224-274381-0007.wav,161360,by quick marches through these inaccessible mountains that general freed himself from the superior forces of the covenanters,she blushed and smiled and fumbled his card in her confusion before she ran upstairs
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/61-70968-0049.wav,132000,have your will child if the boy also wills it montfichet answered feeling too ill to oppose anything very strongly just then,the modern organization of industry works in the same direction also by another line
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/61-70968-0011.wav,102000,he gave way to the others very readily and retreated unperceived by the squire and mistress fitzooth to the rear of the tent,isn't he splendid cried jasper in intense pride swelling up father knew how to do it
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/5142-36377-0007.wav,98880,a little cracked that in the popular phrase was my impression of the stranger who now made his appearance in the supper room,her regard shifted to the green stalks and leaves again and she started to move away
/workspace/asr_advbox/speech_data/LibriSpeech/LibriSpeech/test-clean-wav/5105-28241-0006.wav,120800,the log and the compass therefore were able to be called upon to do the work of the sextant which had become utterly useless,when we were out in the darkness of the quadrangle we again looked up at the windows
